Início de Coleta;ir ao jic;bote marinha;31-05-2014-14:23:01;samsung-SM-T211M;31/05/2014 14:23:01
31/05/2014 14:42:00;-26.292986408807337;-48.77063551917672;1.091756;-0.61291564;10.30464553,8
31/05/2014 14:42:05;-26.293010297231376;-48.77140615135431;-0.05746084;-1.3694834;10.544064554,9
31/05/2014 14:42:10;-26.29304202273488;-48.77217527478933;0.82360536;0.49799395;10.49618155,1
31/05/2014 14:42:15;-26.29313652869314;-48.772906344383955;0.46926352;0.61291564;9.63426854,2
31/05/2014 14:42:20;-26.293260497041047;-48.77363280393183;0.32561144;0.038307227;8.98304554,2
31/05/2014 14:42:25;-26.293359361588955;-48.77437242306769;1.1587936;1.1779473;11.396454,0
31/05/2014 14:42:30;-26.29345483146608;-48.775101732462645;-0.038307227;-2.96881;9.366117552,9
31/05/2014 14:42:35;-26.29351966548711;-48.77578133717179;0.6607997;-0.6799533;7.02937649,3
31/05/2014 14:42:40;-26.293597617186606;-48.77640754915774;0.2873042;0.2873042;11.71243537,6
31/05/2014 14:42:45;-26.29365423694253;-48.77659756690264;0.11492168;-0.58418524;9.73961310,8
31/05/2014 14:42:50;-26.293683112598956;-48.77671382389963;0.21068975;-0.11492168;10.0939549,0
31/05/2014 14:42:55;-26.293714796192944;-48.776831505820155;0.37349546;-0.4213795;9.8928419,7
31/05/2014 14:43:00;-26.293764039874077;-48.77695673145354;0.38307226;-0.15322891;9.5672311,2
31/05/2014 14:43:05;-26.293797777034342;-48.777072401717305;0.17238252;0.05746084;9.8545349,2
31/05/2014 14:43:10;-26.293810768984258;-48.777209697291255;-0.19153613;-0.545878;9.50976912,4
31/05/2014 14:43:15;-26.293845889158547;-48.777426201850176;-0.30645782;-0.4309563;8.78193216,6
31/05/2014 14:43:20;-26.293884236365557;-48.77767313271761;0.25857377;-0.6512229;10.26633617,5
31/05/2014 14:43:25;-26.293947771191597;-48.77786239609122;0.21068975;-0.5650316;10.074800515,5
31/05/2014 14:43:30;-26.29401746671647;-48.77808686345816;0.06703765;-0.4405331;9.41400117,8
31/05/2014 14:43:35;-26.29407664295286;-48.77832155674696;-0.02873042;-0.009576807;8.86812317,1
31/05/2014 14:43:40;-26.29409361630678;-48.77857477404177;0.2873042;-0.6799533;10.77390819,8
31/05/2014 14:43:45;-26.294071110896766;-48.778820279985666;-0.63206923;-0.1340753;9.318233519,1
31/05/2014 14:43:50;-26.294020232744515;-48.77907366491854;0.59376204;0.0;10.49618118,0
31/05/2014 14:43:55;-26.293960427865386;-48.77925630658865;0.0;-0.038307227;9.76834311,5
31/05/2014 14:44:00;-26.29391273483634;-48.77937993966043;0.31603462;0.11492168;9.806659,0
31/05/2014 14:44:05;-26.293869609944522;-48.77950650639832;-0.36391866;1.091756;9.8832659,9
31/05/2014 14:44:10;-26.293794424273074;-48.779609855264425;-0.33518824;0.78529817;9.8928419,4
31/05/2014 14:44:15;-26.29369509872049;-48.779676742851734;-0.36391866;1.0342951;9.7587667,9
31/05/2014 14:44:20;-26.293605915270746;-48.77973139286041;0.8331822;0.79487497;9.7587667,0
31/05/2014 14:44:25;-26.293538315221667;-48.779784282669425;0.5746084;0.61291564;9.9981868,1
31/05/2014 14:44:30;-26.293438612483442;-48.77982845529914;0.45010993;0.7757214;10.017347,4
31/05/2014 14:44:35;-26.29339988809079;-48.77983641810715;-0.7757214;0.32561144;9.8545341,8
31/05/2014 14:44:40;-26.29339988809079;-48.77983641810715;1.3215994;1.484405;9.5768072,0
31/05/2014 14:44:45;-26.29339988809079;-48.77983641810715;1.5705963;3.5625722;9.2607722,0
31/05/2014 14:44:50;-26.29339988809079;-48.77983641810715;2.2984335;3.8977604;8.8106622,0
31/05/2014 14:44:55;-26.29339988809079;-48.77983641810715;0.9576807;4.213795;8.9447371,8
31/05/2014 14:45:00;-26.293263765983284;-48.780071530491114;1.1779473;4.060566;8.7148944,7
31/05/2014 14:45:05;-26.293270639143884;-48.78011913970113;1.2737153;4.606444;8.65743351,8
